site_number,site_name,avg_max_temp,avg_min_temp,avg_mean_temp,Latitude,Longitude,Elevation,Koppen_Classification
34084,CHARTERS TOWERS AIRPORT,30,16,23,-20.05,146.27,290,"Grassland (hot, winter drought)"
87031,LAVERTON RAAF,19,9,14,-37.86,144.76,20,"Temperate (no dry season, warm summer)"
39128,BUNDABERG AERO,27,15,21,-24.91,152.32,31,Subtropical (no dry season)
4106,MARBLE BAR,35,19,27,-21.18,119.75,182,"Desert (hot, winter drought)"
48027,COBAR MO,26,3,19,-31.48,145.83,260,"Grassland (hot, persistently dry)"
23373,NURIOOTPA PIRSA,21,9,15,-34.48,139.01,275,Temperate (distinctly dry and warm summer)
69018,MORUYA HEADS PILOT STATION,20,11,16,-35.91,150.15,17,"Temperate (no dry season, warm summer)"
67105,RICHMOND RAAF,24,11,18,-33.6,150.78,19,"Temperate (no dry season, hot summer)"
39066,GAYNDAH AIRPORT,28,14,21,-25.62,151.62,111,Subtropical (no dry season)
76031,MILDURA AIRPORT,24,10,17,-34.24,142.09,50,"Grassland (warm, persistently dry)"
65070,DUBBO AIRPORT AWS,24,10,17,-32.22,148.58,284,"Temperate (no dry season, hot summer)"
26021,MOUNT GAMBIER AERO,19,8,14,-37.75,140.77,63,Temperate (distinctly dry and warm summer)
61363,SCONE AIRPORT AWS,24,10,17,-32.03,150.83,221,"Temperate (no dry season, hot summer)"
15666,RABBIT FLAT,34,17,25,-20.18,130.01,340,"Grassland (hot, winter drought)"
18044,KYANCUTTA,25,9,17,-33.13,135.55,59,"Grassland (warm, summer drought)"
18192,PORT LINCOLN AWS,20,11,16,-34.6,135.88,9,Temperate (distinctly dry and warm summer)
14015,DARWIN AIRPORT,32,23,27,-12.42,130.89,30,Equatorial savanna
55024,GUNNEDAH RESOURCE CENTRE,25,12,18,-31.03,150.27,307,"Temperate (no dry season, hot summer)"
16001,WOOMERA AERODROME,26,13,19,-31.16,136.81,167,"Desert (hot, persistently dry)"
56242,INVERELL (RAGLAN ST),23,7,15,-29.78,151.11,582,"Temperate (no dry season, hot summer)"
72150,WAGGA WAGGA AMO,22,8,15,-35.16,147.46,212,"Temperate (no dry season, hot summer)"
91293,LOW HEAD,16,10,13,-41.05,146.79,3,"Temperate (no dry season, mild summer)"
84016,GABO ISLAND LIGHTHOUSE,18,12,15,-37.57,149.92,15,"Temperate (no dry season, warm summer)"
40842,BRISBANE AERO,25,15,20,-27.39,153.13,5,Subtropical (no dry season)
9789,ESPERANCE,21,12,16,-33.83,121.89,25,Temperate (distinctly dry and warm summer)
8296,MORAWA AIRPORT,27,13,20,-29.2,116.02,271,"Grassland (hot, summer drought)"
8297,DALWALLINU,26,11,19,-30.28,116.67,325,"Grassland (hot, summer drought)"
40043,CAPE MORETON LIGHTHOUSE,24,18,21,-27.03,153.47,100,Subtropical (no dry season)
45025,THARGOMINDAH AIRPORT,29,16,23,-27.99,143.82,131,"Grassland (hot, persistently dry)"
91311,LAUNCESTON AIRPORT,18,6,12,-41.55,147.22,167,"Temperate (no dry season, mild summer)"
5007,LEARMONTH AIRPORT,32,17,24,-22.24,114.1,5,"Grassland (hot, summer drought)"
66214,SYDNEY (OBSERVATORY HILL),23,14,19,-33.86,151.2,43,"Temperate (no dry season, hot summer)"
68072,NOWRA RAN AIR STATION AWS,22,11,17,-34.95,150.54,109,"Temperate (no dry season, warm summer)"
61078,WILLIAMTOWN RAAF,23,12,18,-32.79,151.84,8,"Temperate (no dry season, hot summer)"
22823,CAPE BORDA,19,12,15,-35.75,136.6,158,Temperate (distinctly dry and warm summer)
59151,COFFS HARBOUR AIRPORT,24,14,19,-30.32,153.12,4,Subtropical (no dry season)
94198,CAPE BRUNY (CAPE BRUNY),16,9,12,-43.49,147.14,60,"Temperate (no dry season, mild summer)"
29077,BURKETOWN AIRPORT,33,20,26,-17.75,139.54,6,"Grassland (hot, winter drought)"
17043,OODNADATTA AIRPORT,29,15,22,-27.56,135.45,117,"Desert (hot, persistently dry)"
8315,GERALDTON AIRPORT,26,13,19,-28.8,114.7,30,Subtropical (distinctly dry summer)
46126,TIBOOBURRA AIRPORT,27,14,21,-29.44,142.06,176,"Desert (hot, persistently dry)"
26026,ROBE,18,11,15,-37.16,139.76,3,Temperate (distinctly dry and warm summer)
27045,WEIPA AERO,33,22,27,-12.68,141.92,18,Equatorial savanna
63005,BATHURST AGRICULTURAL STATION,20,6,13,-33.43,149.56,713,"Temperate (no dry season, warm summer)"
96003,BUTLERS GORGE,13,3,8,-42.28,146.28,667,"Temperate (no dry season, mild summer)"
68151,POINT PERPENDICULAR AWS,20,14,17,-35.09,150.8,85,"Temperate (no dry season, warm summer)"
29063,NORMANTON AIRPORT,33,21,27,-17.69,141.07,18,"Grassland (hot, winter drought)"
44021,CHARLEVILLE AERO,28,13,20,-26.41,146.26,302,"Grassland (hot, persistently dry)"
50017,WEST WYALONG AIRPORT AWS,23,9,16,-33.94,147.2,257,"Temperate (no dry season, hot summer)"
10286,CUNDERDIN AIRFIELD,25,10,18,-31.62,117.22,217,"Grassland (hot, summer drought)"
17126,MARREE AERO,28,13,21,-29.66,138.07,50,"Desert (hot, persistently dry)"
38003,BOULIA AIRPORT,31,17,24,-22.91,139.9,162,"Desert (hot, persistently dry)"
13017,GILES METEOROLOGICAL OFFICE,29,16,23,-25.03,128.3,598,"Desert (hot, persistently dry)"
9999,ALBANY AIRPORT,20,10,15,-34.94,117.82,68,Temperate (distinctly dry and warm summer)
1019,KALUMBURU,35,20,27,-14.3,126.65,23,Tropical savanna
14825,VICTORIA RIVER DOWNS,35,20,27,-16.4,131.01,89,"Grassland (hot, winter drought)"
16098,TARCOOLA AERO,27,11,19,-30.71,134.58,123,"Desert (hot, persistently dry)"
10092,MERREDIN,25,11,18,-31.48,118.28,315,"Grassland (warm, summer drought)"
58012,YAMBA PILOT STATION,24,15,20,-29.43,153.36,27,Subtropical (no dry season)
